# Yahoo ADP, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,adp
Connor McDavid,1.5
Nathan MacKinnon,2.1
Nikita Kucherov,3.8
Macklin Celebrini,4.5
Leon Draisaitl,5.8
Cale Makar,6.4
David Pastrnak,8.4
Kirill Kaprizov,9.7
Jason Robertson,10
Andrei Vasilevskiy,11
Quinn Hughes,12.1
Nick Suzuki,12.8
Zach Werenski,15.1
Evan Bouchard,16
Martin Necas,16.1
Auston Matthews,16.7
Cole Caufield,18
Jack Hughes,18.9
Wyatt Johnston,19.5
Lane Hutson,20.8
Matt Boldy,21.4
Jack Eichel,22.5
Connor Hellebuyck,25.1
Brady Tkachuk,25.4
Mikko Rantanen,25.6
Jake Oettinger,25.9
Tage Thompson,29.5
Kyle Connor,30.2
Logan Thompson,30.4
Matthew Schaefer,31.5
Jake Guentzel,32.6
Matthew Tkachuk,33.9
Cutter Gauthier,34.1
Rasmus Dahlin,34.6
Mark Scheifele,36.5
Ilya Sorokin,36.9
Brandon Hagel,37.8
Alex DeBrincat,41
Dylan Guenther,41.6
Mitch Marner,41.8
William Nylander,42.1
Igor Shesterkin,42.3
Clayton Keller,44
Leo Carlsson,45.7
Sam Reinhart,46.9
Tim Stutzle,47.9
Artemi Panarin,50.8
Darren Raddysh,51.1
Jakob Chychrun,51.2
Sidney Crosby,52.8
Juraj Slafkovský,52.9
Moritz Seider,53.3
Scott Wedgewood,54.7
Adrian Kempe,55
Adam Fox,55.9
Filip Forsberg,56.2
Aleksander Barkov,57.3
Jesper Wallstedt,59.8
Jeremy Swayman,61.6
Jake Sanderson,63.1
Kirill Marchenko,63.4
Will Smith,64.7
Connor Bedard,67.1
Porter Martone,68.4
Karel Vejmelka,69
Miro Heiskanen,69.5
Pavel Dorofeyev,72.4
Erik Karlsson,73.8
Lucas Raymond,74.6
Sebastian Aho,75.8
Robert Thomas,77.3
Jesper Bratt,77.3
Brandon Bussi,77.3
Roman Josi,78
Jacob Markstrom,78.2
Jackson LaCombe,79.3
Brock Faber,81.2
Jakub Dobes,82.4
Josh Morrissey,83.1
John Carlson,83.6
Drake Batherson,84.6
Brayden Point,85.2
Ivan Demidov,85.8
Mika Zibanejad,86.2
Victor Hedman,90.7
Alex Tuch,91
Mikhail Sergachev,91.5
Cole Hutson,92
Alex Ovechkin,93.1
Sergei Bobrovsky,93.1
Dylan Larkin,93.7
Gavin McKenna,93.7
Noah Dobson,94
Nick Schmaltz,95.3
Mackenzie Blackwood,97.6
Shayne Gostisbehere,98.3
Charlie McAvoy,98.7
Adam Fantilli,100
Shea Theodore,101.1
Zach Hyman,101.2
Timo Meier,103.9
Juuse Saros,105
Brandt Clarke,105.3
Beckett Sennecke,105.4
Mark Stone,107.2
Dylan Holloway,107.5
Rasmus Andersson,108.5
Dougie Hamilton,111
Morgan Geekie,111.4
MacKenzie Weegar,112.9
J.T. Miller,115.1
Bowen Byram,115.6
Thomas Harley,116.2
Nikolaj Ehlers,116.4
Andrei Svechnikov,117.4
Roope Hintz,118.2
Matthew Knies,118.2
Ukko-Pekka Luukkonen,118.8
Brandon Montour,119.3
Jet Greaves,119.6
Logan Cooley,120
Seth Jarvis,122.7
Steven Stamkos,123.5
Kevin Lankinen,125.2
Seth Jones,127
Tyler Toffoli,127
Bryan Rust,127.3
Bo Horvat,127.7
Joel Hofer,127.8
Yaroslav Askarov,127.8
Mattias Ekholm,128
Stuart Skinner,128.3
John Tavares,128.4
Vince Dunn,128.5
Tom Wilson,128.7
Carter Hart,128.8
Arturs Silovs,128.9
Nico Hischier,129
Gabe Perreault,129.4
Mats Zuccarello,129.4
Travis Konecny,129.6
Mason McTavish,129.7
Mattias Samuelsson,129.7
James Hagens,130.7
Jordan Binnington,130.9
Adin Hill,131
Egor Chinakhov,131.1
Michael Misa,131.2
Kris Letang,131.2
Jack Roslovic,131.4
Chris Kreider,131.4
Mason Marchment,131.7
Trevor Zegras,131.9
Vincent Trocheck,131.9
Kiefer Sherwood,132.3
Drew Doughty,132.3
Patrick Kane,132.6
Spencer Knight,132.7
Brock Nelson,132.9
Ivar Stenberg,133
Olen Zellweger,133
Thatcher Demko,133.1
Rickard Rakell,133.2
Anthony Stolarz,133.2
Jake Allen,133.3
Sam Rinzel,133.4
Filip Gustavsson,133.5
Ryan Leonard,133.7
Tyson Foerster,133.7
Linus Ullmark,133.8
Joseph Woll,133.9
Devon Toews,133.9
Jake McCabe,133.9
Nikita Zadorov,134.1
Aaron Ekblad,134.1
Lukas Dostal,134.2
Josh Doan,134.3
Luke Hughes,134.3
Denton Mateychuk,134.5
Carter Verhaeghe,134.6
Oliver Ekman-Larsson,134.6
J.J. Moser,134.8
Jake Walman,134.9
Lawson Crouse,135
Sergei Murashov,135.2
Tristan Jarry,135.3
Philip Broberg,135.4
Colton Parayko,135.4
John Marino,135.5
Tyler Bertuzzi,135.7
K'Andre Miller,135.9
Gabriel Landeskog,136
Jake Neighbours,136
Jimmy Snuggerud,136.1
Mike Matheson,136.3
Frederik Andersen,136.3
Owen Power,136.3
Logan Stankoven,136.4
Dan Vladar,136.4
Sam Bennett,136.5
Igor Chernyshov,136.6
Matt Duchene,136.8
Quinton Byfield,136.9
Brock Boeser,136.9
Darnell Nurse,136.9
Bobby McMann,137.1
Zayne Parekh,137.1
Ivan Barbashev,137.3
Simon Edvinsson,137.3
Vladislav Gavrikov,137.4
Zeev Buium,137.5
Elias Pettersson,137.6
Pavel Buchnevich,137.9
Anton Frondell,138
Brent Burns,138
Morgan Rielly,138.2
William Eklund,138.3
Anthony Cirelli,138.3
Pyotr Kochetkov,138.4
Mathew Barzal,138.5
Joel Eriksson Ek,138.6
Jacob Trouba,138.8
Noah Hanifin,138.8
Dustin Wolf,138.9
Valeri Nichushkin,139
Matvei Michkov,139
Joey Daccord,139
Ryan Nugent-Hopkins,139.1
John Gibson,139.1
Jordan Kyrou,139.4
JJ Peterka,139.8
Owen Tippett,139.8
Filip Hronek,139.9
Alexander Nikishin,140
Artturi Lehkonen,140.1
Travis Sanheim,140.2
Jackson Blake,140.7
Sam Malinski,140.7
Aliaksei Protas,141
Evgeni Malkin,141.2
Dylan Cozens,141.3
Justin Faulk,141.7
Thomas Chabot,141.8
Simon Nemec,141.9
Esa Lindell,141.9
Anthony Mantha,142.1
Alexis Lafreniere,142.3
Dylan Strome,142.4
Sean Walker,142.7
Ivan Provorov,142.9
Ryan O'Reilly,143.4
Pavel Zacha,144.1
Gabriel Vilardi,144.6
Brad Marchand,145
Jared McCann,145.1
Tomas Hertl,145.2
Luke Evangelista,145.3
Alex Laferriere,145.7
Nazem Kadri,145.9
Darcy Kuemper,146.1
Zach Benson,146.2
Kevin Fiala,148.9
Jacob Fowler,150.6
Alex Lyon,151.7
