# Player ages, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,age
Nathan MacKinnon,30
Connor McDavid,29
Cale Makar,27
Zach Werenski,29
Nikita Kucherov,33
Evan Bouchard,26
Moritz Seider,25
Quinn Hughes,26
Macklin Celebrini,20
David Pastrnak,30
Leon Draisaitl,30
Rasmus Dahlin,26
Matthew Schaefer,18
Andrei Vasilevskiy,32
Jason Robertson,27
Connor Hellebuyck,33
Jack Eichel,29
Auston Matthews,28
Matt Boldy,25
Lane Hutson,22
Logan Thompson,29
Jake Sanderson,24
Jakob Chychrun,28
Adam Fox,28
Nick Suzuki,27
Darren Raddysh,30
Kirill Kaprizov,29
Martin Necas,27
Wyatt Johnston,23
Jake Oettinger,27
Jet Greaves,25
Jackson LaCombe,25
Juuse Saros,31
Cutter Gauthier,22
Jack Hughes,25
Igor Shesterkin,30
Filip Forsberg,32
Charlie McAvoy,28
Roman Josi,36
MacKenzie Weegar,32
Brady Tkachuk,26
Ilya Sorokin,31
Tage Thompson,28
Kyle Connor,29
Noah Dobson,26
Josh Morrissey,31
Karel Vejmelka,30
Aleksander Barkov,30
Jeremy Swayman,27
John Gibson,33
Brandt Clarke,23
Mark Scheifele,33
William Nylander,30
Mikko Rantanen,29
Sam Reinhart,30
Cole Caufield,25
Artemi Panarin,34
Mikhail Sergachev,28
Matthew Tkachuk,28
Spencer Knight,25
Sidney Crosby,39
Lukas Dostal,26
Tim Stützle,24
Adrian Kempe,29
Miro Heiskanen,27
Jakub Dobes,25
Alex DeBrincat,28
Mika Zibanejad,33
Filip Hronek,28
Jacob Markstrom,36
Dustin Wolf,25
Darnell Nurse,31
Dylan Guenther,23
Tom Wilson,32
Scott Wedgewood,34
Nico Hischier,27
Dylan Holloway,24
Brandon Hagel,28
Juraj Slafkovsky,22
Linus Ullmark,33
Bo Horvat,31
Brock Faber,24
Shea Theodore,31
Sergei Bobrovsky,37
Bowen Byram,25
John Carlson,36
Thomas Harley,25
Sebastian Aho,29
Adam Fantilli,21
Erik Karlsson,36
Jake Guentzel,31
Dougie Hamilton,33
Kiefer Sherwood,31
Mitch Marner,29
Clayton Keller,28
Dylan Larkin,30
Leo Carlsson,21
Kirill Marchenko,26
J.T. Miller,33
Andrei Svechnikov,26
Dylan Cozens,25
Jesper Bratt,28
Matthew Knies,23
Dmitry Orlov,35
Will Cuylle,24
Elias Pettersson,27
Shayne Gostisbehere,33
Seth Jones,31
Jesper Wallstedt,23
Cole Hutson,20
Jacob Trouba,32
Lucas Raymond,24
Brandon Montour,32
Alex Nikishin,24
Vince Dunn,29
Joel Hofer,26
Alex Tuch,30
Thomas Chabot,29
Logan Cooley,22
Morgan Geekie,28
Porter Martone,19
Roope Hintz,29
Bryan Rust,34
Simon Edvinsson,23
Anton Forsberg,33
Carter Hart,28
Rickard Rakell,33
Jake Allen,36
Mattias Samuelsson,26
Anton Frondell,19
Timo Meier,29
Steven Stamkos,36
Justin Faulk,34
Dan Vladar,29
Rasmus Andersson,29
K'Andre Miller,26
Ukko-Pekka Luukkonen,27
Philip Broberg,25
Joel Eriksson Ek,29
Drake Batherson,28
Travis Konecny,29
Owen Power,23
Gavin McKenna,18
Pavel Mintyukov,22
Tomas Hertl,32
Luke Hughes,22
Zach Hyman,34
Nikolaj Ehlers,30
Beckett Sennecke,20
Noah Hanifin,29
Pavel Dorofeyev,25
Alexis Lafrenière,24
Kris Letang,39
Mattias Ekholm,36
Colton Parayko,33
Zeev Buium,20
Robert Thomas,27
