# Fantrax position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
Nathan MacKinnon,C
Connor McDavid,C
Nikita Kucherov,RW
Zach Werenski,D
Macklin Celebrini,C
Cale Makar,D
Quinn Hughes,D
Evan Bouchard,D
David Pastrnak,RW
Leon Draisaitl,C/LW
Matt Boldy,LW/RW
Jack Eichel,C
Auston Matthews,C
Jack Hughes,C/LW
Rasmus Dahlin,D
Matthew Schaefer,D
Jason Robertson,LW
Kirill Kaprizov,LW
Lane Hutson,D
Martin Necas,RW
Moritz Seider,D
Wyatt Johnston,C/RW
William Nylander,RW
Nick Suzuki,C
Kyle Connor,LW
Cutter Gauthier,LW/RW
Mikko Rantanen,RW
Adam Fox,D
Connor Hellebuyck,G
Jake Sanderson,D
Dylan Guenther,RW
Andrei Vasilevskiy,G
Tage Thompson,C/RW
Roman Josi,D
Darren Raddysh,D
Jakob Chychrun,D
Matthew Tkachuk,RW
Mitch Marner,C/LW/RW
Leo Carlsson,C
Jackson LaCombe,D
Clayton Keller,LW
Josh Morrissey,D
Jake Guentzel,LW/RW
Lucas Raymond,RW
Logan Thompson,G
Alex DeBrincat,LW
Brandt Clarke,D
Artemi Panarin,LW
Mika Zibanejad,C/RW
Cole Caufield,LW
Aleksander Barkov,C
Sam Reinhart,RW
Sidney Crosby,C
Filip Forsberg,LW
Shea Theodore,D
Mark Scheifele,C
Jet Greaves,G
Ilya Sorokin,G
Kirill Marchenko,RW
Igor Shesterkin,G
Miro Heiskanen,D
Adrian Kempe,RW
Noah Dobson,D
John Carlson,D
Brandon Hagel,LW
Charlie McAvoy,D
Mikhail Sergachev,D
Erik Karlsson,D
Nico Hischier,C
Sebastian Aho,C
Juuse Saros,G
Nikolaj Ehlers,LW/RW
Tim Stützle,C/LW
Jake Oettinger,G
Dylan Larkin,C
Thomas Harley,D
Bo Horvat,C
Jesper Bratt,LW
Will Smith,C/RW
Spencer Knight,G
Connor Bedard,C
Bryan Rust,RW
Bowen Byram,D
Logan Cooley,C
Juraj Slafkovsky,LW/RW
Dustin Wolf,G
Brock Faber,D
Adam Fantilli,C
Jeremy Swayman,G
John Gibson,G
Beckett Sennecke,RW
Pavel Dorofeyev,LW/RW
Luke Hughes,D
Brady Tkachuk,LW
Nick Schmaltz,C/RW
Robert Thomas,C
Shayne Gostisbehere,D
Alexis Lafrenière,LW/RW
Vince Dunn,D
Alex Tuch,RW
Karel Vejmelka,G
Mathew Barzal,C/RW
Filip Hronek,D
Ivan Demidov,RW
J.T. Miller,C/LW/RW
Mark Stone,RW
Brayden Point,C
Andrei Svechnikov,LW/RW
Dougie Hamilton,D
Travis Konecny,RW
Steven Stamkos,C/LW/RW
Rickard Rakell,LW/RW
Roope Hintz,C
Dylan Holloway,LW
Zach Hyman,RW
Lukas Dostal,G
MacKenzie Weegar,D
Elias Pettersson,C
Jimmy Snuggerud,RW
Anton Frondell,C
Jordan Kyrou,RW
Owen Power,D
Timo Meier,LW/RW
Morgan Geekie,C/LW/RW
Drake Batherson,LW/RW
Seth Jones,D
Thomas Chabot,D
Jakub Dobes,G
Joel Eriksson Ek,C
Scott Wedgewood,G
Dylan Strome,C
Philip Broberg,D
Ryan O'Reilly,C
Cole Hutson,D
Tom Wilson,RW
Porter Martone,RW
William Eklund,LW/RW
Brandon Montour,D
Sergei Bobrovsky,G
JJ Peterka,LW/RW
Rasmus Andersson,D
John Tavares,C
Dmitry Orlov,D
Quinton Byfield,C/LW
Noah Hanifin,D
Simon Nemec,D
Gabriel Vilardi,RW
Darnell Nurse,D
Tomas Hertl,C/LW
Evgeni Malkin,C/LW
Jesper Wallstedt,G
Linus Ullmark,G
Kevin Fiala,LW/RW
Ryan Hartman,C/RW
Matthew Knies,LW
Zach Benson,LW
Zeev Buium,D
Justin Faulk,D
Brock Boeser,LW/RW
Nazem Kadri,C
Seth Jarvis,RW
Victor Hedman,D
Pavel Mintyukov,D
Jake DeBrusk,LW/RW
Jacob Markstrom,G
Gavin McKenna,LW
Brock Nelson,C
Michael Misa,C
Luke Evangelista,RW
Dylan Cozens,C
Jackson Blake,RW
Patrick Kane,RW
Joel Hofer,G
Brad Marchand,LW/RW
Matvei Michkov,LW/RW
Matt Coronato,RW
Mattias Ekholm,D
Jamie Drysdale,D
Travis Sanheim,D
Simon Edvinsson,D
Alex Nikishin,D
Owen Tippett,LW/RW
Ivan Provorov,D
K'Andre Miller,D
Anton Forsberg,G
Jared McCann,C/LW
Matvei Gridin,RW
Logan Stankoven,C/RW
Marco Rossi,C
Tyler Bertuzzi,LW/RW
Jacob Trouba,D
Alex Ovechkin,LW/RW
Gustav Forsling,D
Morgan Rielly,D
Cam York,D
Brady Skjei,D
Jake Allen,G
Matty Beniers,C
Mikael Granlund,C/RW
Trevor Zegras,C/LW
Ryan Nugent-Hopkins,C/LW
Cole Perfetti,LW/RW
Valeri Nichushkin,LW/RW
Devon Toews,D
Joey Daccord,G
Mattias Samuelsson,D
Kris Letang,D
Aliaksei Protas,LW/RW
Josh Doan,LW/RW
Mike Matheson,D
Dan Vladar,G
Mason McTavish,C
Viktor Arvidsson,LW/RW
Colton Parayko,D
Jake Walman,D
Denton Mateychuk,D
Artyom Levshunov,D
Thatcher Demko,G
Sean Walker,D
Sam Bennett,C
Esa Lindell,D
Ryan Leonard,RW
Luca Cagnoni,D
Jaccob Slavin,D
Ukko-Pekka Luukkonen,G
Pavel Zacha,C/LW
Carter Hart,G
Sam Dickinson,D
Vladislav Gavrikov,D
Jordan Eberle,RW
Sean Durzi,D
Sam Malinski,D
Neal Pionk,D
Jack Quinn,RW
Will Cuylle,LW/RW
Pavel Buchnevich,C/LW/RW
Anton Lundell,C
Kyle Palmieri,RW
