# Yahoo position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
Nathan MacKinnon,C
Connor McDavid,C
Cale Makar,D
Zach Werenski,D
Nikita Kucherov,RW
Evan Bouchard,D
Moritz Seider,D
Quinn Hughes,D
Macklin Celebrini,C
David Pastrnak,RW
Leon Draisaitl,C/LW
Rasmus Dahlin,D
Matthew Schaefer,D
Andrei Vasilevskiy,G
Jason Robertson,LW/RW
Connor Hellebuyck,G
Jack Eichel,C
Auston Matthews,C
Matt Boldy,LW/RW
Lane Hutson,D
Logan Thompson,G
Jake Sanderson,D
Jakob Chychrun,D
Adam Fox,D
Nick Suzuki,C
Darren Raddysh,D
Kirill Kaprizov,LW
Martin Necas,RW
Wyatt Johnston,C/RW
Jake Oettinger,G
Jet Greaves,G
Jackson LaCombe,D
Juuse Saros,G
Cutter Gauthier,C/LW/RW
Jack Hughes,C/LW
Igor Shesterkin,G
Filip Forsberg,LW
Charlie McAvoy,D
Roman Josi,D
MacKenzie Weegar,D
Brady Tkachuk,C/LW
Ilya Sorokin,G
Tage Thompson,C/RW
Kyle Connor,LW
Noah Dobson,D
Josh Morrissey,D
Karel Vejmelka,G
Aleksander Barkov,C
Jeremy Swayman,G
John Gibson,G
Brandt Clarke,D
Mark Scheifele,C
William Nylander,C/RW
Mikko Rantanen,LW/RW
Sam Reinhart,RW
Cole Caufield,LW/RW
Artemi Panarin,LW
Mikhail Sergachev,D
Matthew Tkachuk,LW/RW
Spencer Knight,G
Sidney Crosby,C
Lukas Dostal,G
Tim Stützle,C/LW
Adrian Kempe,RW
Miro Heiskanen,D
Jakub Dobes,G
Alex DeBrincat,LW/RW
Mika Zibanejad,C/RW
Filip Hronek,D
Jacob Markstrom,G
Dustin Wolf,G
Darnell Nurse,D
Dylan Guenther,LW/RW
Tom Wilson,RW
Scott Wedgewood,G
Nico Hischier,C
Dylan Holloway,C/LW
Brandon Hagel,LW/RW
Juraj Slafkovsky,LW/RW
Linus Ullmark,G
Bo Horvat,C
Brock Faber,D
Shea Theodore,D
Sergei Bobrovsky,G
Bowen Byram,D
John Carlson,D
Thomas Harley,D
Sebastian Aho,C
Adam Fantilli,C
Erik Karlsson,D
Jake Guentzel,LW/RW
Dougie Hamilton,D
Kiefer Sherwood,LW/RW
Mitch Marner,C/LW/RW
Clayton Keller,LW/RW
Dylan Larkin,C
Leo Carlsson,C
Kirill Marchenko,RW
J.T. Miller,C/LW/RW
Andrei Svechnikov,LW/RW
Dylan Cozens,C
Jesper Bratt,LW/RW
Matthew Knies,LW/RW
Dmitry Orlov,D
Will Cuylle,LW/RW
Elias Pettersson,C
Shayne Gostisbehere,D
Seth Jones,D
Jesper Wallstedt,G
Cole Hutson,D
Jacob Trouba,D
Lucas Raymond,RW
Brandon Montour,D
Alex Nikishin,D
Vince Dunn,D
Joel Hofer,G
Alex Tuch,LW/RW
Thomas Chabot,D
Logan Cooley,C
Morgan Geekie,C/LW/RW
Porter Martone,RW
Roope Hintz,C
Bryan Rust,RW
Simon Edvinsson,D
Anton Forsberg,G
Carter Hart,G
Rickard Rakell,C/LW/RW
Jake Allen,G
Mattias Samuelsson,D
Anton Frondell,C
Timo Meier,LW/RW
Steven Stamkos,C/RW
Justin Faulk,D
Dan Vladar,G
Rasmus Andersson,D
K'Andre Miller,D
Ukko-Pekka Luukkonen,G
Philip Broberg,D
Joel Eriksson Ek,C
Drake Batherson,LW/RW
Travis Konecny,LW/RW
Owen Power,D
Gavin McKenna,LW
Pavel Mintyukov,D
Tomas Hertl,C/LW
Luke Hughes,D
Zach Hyman,LW/RW
Nikolaj Ehlers,LW
Beckett Sennecke,RW
Noah Hanifin,D
Pavel Dorofeyev,LW/RW
Alexis Lafrenière,LW/RW
Kris Letang,D
Mattias Ekholm,D
Colton Parayko,D
Zeev Buium,D
Robert Thomas,C
Quinton Byfield,C
John Tavares,C
Travis Sanheim,D
Joey Daccord,G
Josh Manson,D
Sean Walker,D
Arturs Silovs,G
Yaroslav Askarov,G
Simon Nemec,D
Martin Fehervary,D
Jimmy Snuggerud,RW
Neal Pionk,D
Pyotr Kochetkov,G
Victor Hedman,D
Jake McCabe,D
Thatcher Demko,G
Owen Tippett,LW/RW
Brayden McNabb,D
Artyom Levshunov,D
Brayden Point,C
Vincent Trocheck,C
Connor Bedard,C/RW
Nikita Zadorov,D
Brandon Bussi,G
Brady Skjei,D
Mark Stone,RW
Matt Roy,D
Gustav Forsling,D
Cam York,D
Ivan Provorov,D
Mike Matheson,D
Braden Schneider,D
Ryan Hartman,C/RW
Ryan O'Reilly,C
Sam Bennett,C
Alex Laferriere,C/LW/RW
Dylan Strome,C
Adam Larsson,D
MacKenzie Blackwood,G
Mathew Barzal,C/RW
Will Smith,LW/RW
Brock Nelson,C
Nick Schmaltz,C/RW
Alex Romanov,D
Morgan Rielly,D
Jake DeBrusk,LW/RW
Esa Lindell,D
Filip Gustavsson,G
Aaron Ekblad,D
Luca Cagnoni,D
Alex Ovechkin,LW/RW
Gabriel Vilardi,C/RW
Ivan Demidov,RW
Mason McTavish,C
Brock Boeser,LW/RW
Jake Walman,D
Devon Toews,D
Ben Chiarot,D
Jeremy Lauzon,D
Marco Rossi,C
Radko Gudas,D
Jamie Drysdale,D
Denton Mateychuk,D
Dylan Samberg,D
Evgeni Malkin,C/LW/RW
Jamie Oleksiak,D
Mikey Anderson,D
William Borgen,D
Kevin Bahl,D
Vladislav Gavrikov,D
Alex Lyon,G
Nick Seeler,D
Sean Durzi,D
Zach Whitecloud,D
Seth Jarvis,LW/RW
Frederik Andersen,G
Sam Dickinson,D
Nazem Kadri,C/LW
Tristan Jarry,G
Jared McCann,C/LW
Bobby McMann,LW/RW
Tyler Kleven,D
