#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
1,Nathan MacKinnon,Avalanche,C,2.4,1047.5,82,126,45.6,80.9,11.6,38,35,55,7,11,26,36.7,335,23.3,688.8,52.2,65.3,—,—,—,—,—,—,—,—,—,—
2,Connor McDavid,Oilers,C,1.5,986.9,82,130,38.8,91.3,9,41,26,51,6,12,40,52.1,258.8,23.3,451,33.8,69.9,—,—,—,—,—,—,—,—,—,—
3,Macklin Celebrini,Sharks,C,7.4,911.5,78,112,40.8,71.4,1.3,40,31,50,6,10,22,31.7,287,22.6,565.7,56.8,64.3,—,—,—,—,—,—,—,—,—,—
4,Nikita Kucherov,Lightning,RW,4.1,906.0,79,124,36.6,87.2,6.2,41,27,51,6,9,36,45.2,224.2,20.2,1.5,33,47.1,—,—,—,—,—,—,—,—,—,—
5,Leon Draisaitl,Oilers,"C,LW",6.6,859.7,80,110,42.2,67.9,8.2,42,23,41,7,19,27,45.9,221.6,21.8,753.4,27.3,50,—,—,—,—,—,—,—,—,—,—
6,David Pastrnak,Bruins,RW,9.5,812.9,80,101,35.8,65.4,'-3.2,49,27,46,6,9,19,28.6,283,21.1,4.1,31,83.1,—,—,—,—,—,—,—,—,—,—
7,Jack Eichel,Knights,C,23.0,795.2,74,95,31,64.1,6.8,22,24,35,5,6,28,34.1,241.8,22.1,530.2,53.4,42.3,—,—,—,—,—,—,—,—,—,—
8,Evan Bouchard,Oilers,D,18.9,790.3,84,88,17.5,70.1,10,38,12,41,3,6,29,34.8,221.9,25.4,0,115.6,89.5,—,—,—,—,—,—,—,—,—,—
9,Jason Robertson,Stars,"LW,RW",13.3,785.6,82,92,39.4,52.4,5.7,31,27,32,6,12,20,31.9,246.3,21,4,42.7,70.8,—,—,—,—,—,—,—,—,—,—
10,Cale Makar,Avalanche,D,7.3,779.4,79,84,20.6,63.2,11.2,29,14,37,3,6,26,32.2,205.1,25.2,0,131.6,50.4,—,—,—,—,—,—,—,—,—,—
11,Kirill Kaprizov,Wild,LW,10.9,770.9,77,91,40.2,50.6,5.6,33,27,33,6,13,17,30.7,244.8,22.9,1.7,34.4,56.8,—,—,—,—,—,—,—,—,—,—
12,Martin Necas,Avalanche,RW,14.8,765.9,81,95,36.6,58.7,11.1,33,25,42,6,11,17,28,222,22.5,50.3,33.5,94.3,—,—,—,—,—,—,—,—,—,—
13,Quinn Hughes,Wild,D,14.1,760.2,79,91,13.8,77.2,7.3,38,9,42,2,5,35,40,201.7,28.5,0,92.5,22.9,—,—,—,—,—,—,—,—,—,—
14,Auston Matthews,Maple Leafs,C,17.1,750.0,76,74,36.8,36.8,1.8,26,29,27,6,8,10,20.3,269.6,21,704.1,95.2,65.4,—,—,—,—,—,—,—,—,—,—
15,Wyatt Johnston,Stars,"C,RW",24.3,746.8,84,85,39.5,45.9,5.7,33,24,31,6,16,15,30.3,220,21,412.5,56.2,66.1,—,—,—,—,—,—,—,—,—,—
16,Matt Boldy,Wild,"LW,RW",20.9,739.5,80,83,36,46.4,4.9,42,25,29,6,11,17,28.4,235.2,20.8,44.7,59.6,63.3,—,—,—,—,—,—,—,—,—,—
17,Zach Werenski,Blue Jackets,D,17.1,735.7,77,79,19.9,59.1,'-2,30,16,40,3,4,18,22.4,240.6,27.6,0,122.6,33.4,—,—,—,—,—,—,—,—,—,—
18,Kyle Connor,Jets,LW,29.0,710.5,81,87,37,50.3,'-6.3,25,30,33,6,7,17,24,244.1,21.5,3.3,32.2,38.9,—,—,—,—,—,—,—,—,—,—
19,Nick Suzuki,Canadiens,C,12.1,706.3,84,87,28.9,58.5,3.6,27,20,34,4,8,24,32.5,177.7,21.8,702.2,66.8,75.4,—,—,—,—,—,—,—,—,—,—
